@roadscholarz: .. the a__right to lifea__ challenge arising from the Aadhaar project {'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}
BJP MP says elderly not getting pension due to Aadhaar link ----- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
BJP MP says elderly not getting pension due to Aadhaar link: ---- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Thousands of elderly people can`t get pension as thumbprints don`t match: BJP MP on Aadhaar  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Will enquire into @facebook demanding users' #Aadhaar : Minister:  {'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.2263}
@Outlookindia: Foreign Firm Contracted For #Aadhaar Under FBI Radar For Installing Secret Code In US Biometric Machines  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@bankofbaroda @UIDAI tried via SMS------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
#KillerAadhaar took one more life-------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@apnnewsindia: CEO of #Airtel Payments Bank resigns after #Aadhaar e-KYC misuse controversy.  {'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
According to a new blog post about the new name as per #Aadhaar sign up process it was testing in the country {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@twincome: Secure your Aadhaar by locking or unlocking your Biometrics  {'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}
Thousands of elderly people can`t get pension as thumbprints don`t match: BJP MP on Aadhaar  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@YashwantSinha Shouldn't killer Aadhaar be banned? @INCIndia @cpimspeak @AamAadmiParty @RJDforIndia @AITCofficiala__  {'neg': 0.194, 'neu': 0.583, 'pos': 0.223, 'compound': 0.1134}
Is Facebook insisting on Aadhaar? Here is what the social media giant has to say..  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
To open Bank A/c = PAN needed To get PAN = Aadhaar eKYC To get Aadhaar = No documentation needed Therefore {'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
@apnnewsindia: #Facebook responds to uproar over #Aadhaar test; announces intention of scrapping the programme for now.  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
(4/12).@dhvanimehta explores the implications of the Puttaswamy judgement in the context of HIV/AIDS patients {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@roadscholarz: Jayati Ghosh writes - The farce being played out in the name of Aadhaar has led to several deaths because it...  {'neg': 0.112, 'neu': 0.788, 'pos': 0.1, 'compound': -0.0772}
Thousands of elderly people can&amp;#039;t get pension as thumbprints don&amp;#039;t match: BJP MP on Aadhaara__ {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@ajit_ranade Demands for UID/Aadhaar reads like Court's verdict in ADM Jabalpur case in 1976 {'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.4767}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
@UIDAI: 71.24 Crore Mobile Connections Linked With Aadhaar------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
BJP MP says elderly not getting pension due to Aadhaar link ----- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@Dev_Fadnavis @narendramodi_in Child labour raided and we showed adhar card {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@roadscholarz: .. the a__right to lifea__ challenge arising from the Aadhaar project {'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}
@DrKSBhardwaj2 @no2uid @Stupidosaur @godavar @Vidyut @Rita_Banerji @Kractivist Is opposition listening? shouldn't oa__ {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
#Facebook Prompts New Users to Register With their #Aadhaar Card Names; Twitterati Respond With Mixed Reactions  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@AnjaliB_ So far opposition has failed to demand scrapping of UID/Aadhaar @INCIndia @cpimspeak @AamAadmiPartya__  {'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5859}
@digibank i have an aadhaar instant savings account-------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@_YogendraYadav @nitinsachdeva22 We must demand scrapping of UID/Aadhaar else all concerns about deaths and denialsa__ {'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.128}
@UIDAI Your message says From Dec 1------------------------------ {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
The whole country is saying to link your Aadhaar Card to Bank account {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@ajit_ranade: 53------------------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Hearing of bank staff harassing customers to connect #Aadhaar with account #SBI . Customers not allowed to withdrawa__  {'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}
@imMAK02 @sanjayuvacha @DrSaniaMaan @khalidmfp @AdityaMenon22 @BeeGorgeous3 @EpicRoflDon @PreetiSMenon @t_d_h_naira__ {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Your SBI account may be suspended if not linked to Aadhaar; herea__s how to do it  {'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4767}
Retweeted Aadhaar (@UIDAI): Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews...  {'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.2263}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@nixxin: Hi @ShashiTharoor -------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@nixxin: Hi @ShashiTharoor -------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
